Datum;Cas;Teplota;Vlhkost
2025.09.07;14:22:02;25,8;39
2025.09.07;16:44:21;25,4;40
2025.09.07;16:44:53;25,4;40
2025.09.07;16:47:05;25,4;40
2025.09.07;16:51:21;25,4;40
2025.09.07;16:53:26;25,4;40
2025.09.07;16:59:54;25,4;40
2025.09.07;17:04:16;25,3;40
2025.09.07;17:05:13;25,4;41
2025.09.07;17:08:59;25,3;41
2025.09.07;17:09:56;25,3;41
2025.09.07;17:15:34;25,3;41
2025.09.07;17:20:40;25,3;41
2025.09.07;17:22:05;25,3;41
2025.09.07;17:22:57;25,3;41
2025.09.07;17:23:53;25,3;41
2025.09.07;17:24:27;25,3;41
2025.09.07;17:25:06;25,3;41
2025.09.07;17:25:39;25,3;41
2025.09.07;17:26:46;25,3;41
2025.09.07;17:27:40;25,3;41
2025.09.07;17:28:40;25,3;41
