Datum;Cas;Teplota;Vlhkost
2025.09.05;11:30:11;24,4;49
2025.09.05;11:30:11;24,4;49
2025.09.05;11:32:40;24,4;49
2025.09.05;11:32:40;24,4;49
2025.09.05;11:32:40;24,4;49
2025.09.05;11:32:40;24,4;49
2025.09.05;11:32:40;24,4;49
2025.09.05;11:32:40;24,4;49
2025.09.05;11:32:40;24,4;49
2025.09.05;11:32:40;24,4;49
2025.09.05;11:34:13;24,5;49
2025.09.05;11:34:38;24,5;49
2025.09.05;11:35:42;24,5;49
2025.09.05;11:35:42;24,5;49
2025.09.05;11:36:04;24,5;49
2025.09.05;11:36:04;24,5;49
2025.09.05;11:36:14;24,5;49
2025.09.05;11:36:14;24,5;49
2025.09.05;11:36:34;24,5;49
2025.09.05;11:36:36;24,5;49
2025.09.05;11:36:47;24,5;49
2025.09.05;11:36:47;24,5;49
2025.09.05;11:36:53;24,5;49
2025.09.05;11:36:53;24,5;49
2025.09.05;11:36:53;24,5;49
2025.09.05;11:36:53;24,5;49
2025.09.05;11:36:53;24,5;49
2025.09.05;11:36:53;24,5;49
2025.09.05;11:37:06;24,5;49
2025.09.05;11:37:06;24,5;49
2025.09.05;11:37:23;24,5;49
2025.09.05;11:37:23;24,5;49
2025.09.05;11:37:54;24,6;49
2025.09.05;11:37:54;24,6;49
2025.09.05;11:38:02;24,5;49
2025.09.05;11:38:02;24,5;49
2025.09.05;11:38:02;24,5;49
2025.09.05;11:38:02;24,5;49
2025.09.05;11:38:02;24,6;49
2025.09.05;11:38:02;24,6;49
2025.09.05;11:38:04;24,6;49
2025.09.05;11:38:04;24,6;49
2025.09.05;11:38:11;24,6;49
2025.09.05;11:38:11;24,6;49
2025.09.05;11:38:23;24,6;49
2025.09.05;11:38:23;24,6;49
2025.09.05;11:38:23;24,6;49
2025.09.05;11:38:23;24,6;49
2025.09.05;11:38:44;24,6;49
2025.09.05;11:38:44;24,6;49
2025.09.05;11:38:44;24,6;49
2025.09.05;11:38:44;24,6;49
2025.09.05;11:42:11;24,6;49
2025.09.05;11:42:38;24,6;49
2025.09.05;11:43:00;24,6;49
2025.09.05;11:44:17;24,6;49
2025.09.05;11:45:17;24,6;49
2025.09.05;11:45:52;24,6;49
2025.09.05;11:46:10;24,6;49
2025.09.05;11:47:41;24,6;49
2025.09.05;11:50:08;24,5;49
2025.09.05;11:50:52;24,5;49
2025.09.05;11:54:19;24,5;49
2025.09.05;12:00:04;24,5;49
2025.09.05;12:04:43;24,5;49
2025.09.05;12:09:10;24,8;49
2025.09.05;12:09:48;24,8;49
2025.09.05;12:13:04;24,8;49
2025.09.05;12:14:09;24,8;49
2025.09.05;12:15:29;24,9;49
2025.09.05;12:16:11;24,9;49
2025.09.05;12:17:10;24,9;49
2025.09.05;12:20:44;24,9;49
2025.09.05;12:22:36;24,9;49
2025.09.05;12:23:30;24,9;49
2025.09.05;12:25:40;24,9;49
2025.09.05;12:26:21;24,9;49
2025.09.05;12:28:11;24,9;49
2025.09.05;12:29:25;24,9;49
2025.09.05;12:46:28;24,8;50
2025.09.05;12:48:21;24,8;50
2025.09.05;12:49:00;24,8;50
2025.09.05;12:49:42;24,8;50
2025.09.05;12:50:27;24,8;50
2025.09.05;12:52:15;24,7;50
2025.09.05;12:53:00;24,7;50
2025.09.05;12:54:01;24,7;50
2025.09.05;12:54:45;24,6;50
2025.09.05;12:55:29;24,7;50
2025.09.05;12:57:41;24,6;50
2025.09.05;12:59:47;24,5;50
2025.09.05;13:00:47;24,5;50
2025.09.05;13:02:56;24,5;50
2025.09.05;13:06:54;24,6;50
2025.09.05;13:08:20;24,6;50
2025.09.05;13:09:04;24,6;50
2025.09.05;13:09:46;24,6;50
2025.09.05;13:11:07;24,5;50
2025.09.05;13:14:03;24,5;51
2025.09.05;13:15:00;24,5;51
2025.09.05;13:16:04;24,5;51
2025.09.05;13:16:43;24,5;51
2025.09.05;13:17:22;24,5;51
2025.09.05;13:18:04;24,5;51
2025.09.05;13:18:51;24,5;52
2025.09.05;13:31:44;24,4;51
2025.09.05;14:19:39;24,0;52
2025.09.05;14:20:23;24,0;52
