Datum;Cas;Teplota;Vlhkost
2025.09.05;10:06:00;23,2;50
2025.09.05;10:06:42;23,2;50
2025.09.05;10:06:58;23,2;50
2025.09.05;10:07:29;23,2;50
2025.09.05;10:07:43;23,2;50
2025.09.05;10:08:06;23,2;50
2025.09.05;10:08:39;23,2;50
2025.09.05;10:08:45;23,2;50
2025.09.05;10:09:23;23,2;50
2025.09.05;10:10:52;23,2;50
2025.09.05;10:12:32;23,2;50
2025.09.05;10:12:50;23,2;50
2025.09.05;10:20:55;23,4;50
2025.09.05;10:21:05;23,4;50
2025.09.05;10:21:31;23,5;50
2025.09.05;10:22:18;23,5;50
2025.09.05;10:22:28;23,5;50
2025.09.05;10:22:54;23,5;50
2025.09.05;10:23:36;23,5;50
2025.09.05;10:23:48;23,5;50
2025.09.05;10:24:11;23,5;50
2025.09.05;10:27:24;23,5;50
2025.09.05;10:29:33;23,5;50
2025.09.05;10:31:07;23,6;50
2025.09.05;10:33:35;23,6;50
2025.09.05;10:34:33;23,5;50
2025.09.05;10:38:03;23,6;50
2025.09.05;10:38:13;23,6;50
2025.09.05;10:39:10;23,7;50
2025.09.05;10:39:10;23,7;50
2025.09.05;10:40:02;23,7;50
2025.09.05;10:40:02;23,7;50
2025.09.05;10:40:50;23,7;50
2025.09.05;10:41:37;23,7;50
2025.09.05;10:41:54;23,7;50
2025.09.05;10:42:52;23,7;50
2025.09.05;10:42:52;23,7;50
2025.09.05;10:45:30;23,8;50
2025.09.05;10:46:06;23,8;50
2025.09.05;10:46:50;23,8;50
2025.09.05;10:50:21;23,9;50
2025.09.05;10:50:21;23,9;50
2025.09.05;10:51:07;23,9;50
2025.09.05;10:51:10;23,9;50
2025.09.05;10:52:08;23,9;50
2025.09.05;10:52:29;23,9;50
2025.09.05;10:52:48;23,9;50
2025.09.05;10:55:13;24,0;50
2025.09.05;10:55:13;24,0;50
2025.09.05;10:58:52;24,1;50
2025.09.05;10:59:53;24,1;50
2025.09.05;11:01:12;24,1;50
2025.09.05;11:01:16;24,1;50
2025.09.05;11:01:25;24,1;50
2025.09.05;11:01:26;24,1;50
2025.09.05;11:03:18;24,1;50
2025.09.05;11:04:37;24,1;50
2025.09.05;11:06:19;24,1;50
2025.09.05;11:11:37;24,2;49
2025.09.05;11:12:14;24,2;49
2025.09.05;11:12:14;24,2;49
2025.09.05;11:12:38;24,2;49
2025.09.05;11:12:38;24,2;49
2025.09.05;11:13:39;24,2;49
2025.09.05;11:13:39;24,2;49
2025.09.05;11:14:22;24,2;49
2025.09.05;11:14:22;24,2;49
2025.09.05;11:15:50;24,2;50
2025.09.05;11:15:50;24,2;50
2025.09.05;11:18:06;24,2;50
2025.09.05;11:18:53;24,2;50
2025.09.05;11:23:46;24,2;50
2025.09.05;11:26:46;24,2;50
2025.09.05;11:27:16;24,4;49
2025.09.05;11:27:22;24,4;49
2025.09.05;11:27:55;24,4;49
2025.09.05;11:27:55;24,4;49
2025.09.05;11:28:15;24,4;49
2025.09.05;11:28:15;24,4;49
2025.09.05;11:28:47;24,4;49
2025.09.05;11:28:47;24,4;49
2025.09.05;11:28:57;24,4;49
2025.09.05;11:28:57;24,4;49
2025.09.05;11:29:29;24,4;49
2025.09.05;11:29:29;24,4;49
2025.09.05;11:29:45;24,4;49
2025.09.05;11:29:45;24,4;49
2025.09.05;11:29:58;24,4;49
2025.09.05;11:29:58;24,4;49
