Datum;Cas;Teplota;Vlhkost
2025.09.04;16:09:54;31,0;36
2025.09.04;16:10:29;31,0;36
2025.09.04;16:14:23;30,8;36
2025.09.04;16:16:17;30,7;36
2025.09.04;16:16:59;30,6;35
2025.09.04;16:17:45;30,6;35
2025.09.04;16:18:34;30,5;35
2025.09.04;16:20:05;30,5;35
2025.09.04;16:20:55;30,5;35
2025.09.04;16:21:32;30,5;35
2025.09.04;16:23:55;30,5;35
2025.09.04;16:25:01;30,5;35
2025.09.04;16:25:39;30,5;35
2025.09.04;16:28:29;30,4;35
2025.09.04;16:29:36;30,4;35
2025.09.04;16:31:18;30,4;35
2025.09.04;16:32:25;30,4;35
2025.09.04;16:33:53;30,4;35
2025.09.04;16:34:42;30,4;35
2025.09.04;16:36:07;30,4;35
2025.09.04;16:36:44;30,4;35
2025.09.04;16:37:33;30,4;35
2025.09.04;16:40:24;30,5;35
2025.09.04;16:43:43;30,3;35
2025.09.04;16:44:30;30,3;35
2025.09.04;16:45:04;30,4;35
2025.09.04;16:47:22;30,3;35
2025.09.04;16:52:07;30,3;35
2025.09.04;16:53:29;30,3;35
2025.09.04;16:55:27;30,3;35
2025.09.04;16:56:02;30,3;35
2025.09.04;16:57:50;30,3;34
2025.09.04;16:59:00;30,3;34
